,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
0,134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300
1,743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000
2,874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000
3,413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000
4,635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000
5,661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000
6,54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000
7,488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400
8,58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000
9,129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000
10,283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000
11,35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000
12,43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000
13,631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000
14,861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000
15,281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000
16,828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000
17,819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600
18,63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000
19,142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000
20,612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2900
21,604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000
22,727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900
23,51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000
24,838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000
25,330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200
26,247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000
27,157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000
28,103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190000
29,324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000
30,266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000
31,825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14000
32,853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000
33,75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000
34,482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000
35,212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000
36,846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12000
37,561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220000
38,78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150000
39,242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000
40,322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18000
41,159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000
42,265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000
43,151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270000
44,752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7900
45,119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000
46,302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000
47,508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000
48,797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100
49,390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120000
50,201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000
51,663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11000
52,514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11000
53,799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000
54,8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000
55,637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42000
56,26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000
